name,key,url
Aron Puddy-Mathew,AronPuddyMathewdf,http://aronpm.cubing.net/algs/df.txt
Joey Gouly,JoeyGouly2twist,https://raw.githubusercontent.com/jgouly/bld-algs/master/2twist
Joey Gouly,JoeyGouly3e,https://raw.githubusercontent.com/jgouly/bld-algs/master/3e
Joey Gouly,JoeyGouly3c,https://raw.githubusercontent.com/jgouly/bld-algs/master/3c
Joey Gouly,JoeyGoulyltct,https://raw.githubusercontent.com/jgouly/bld-algs/master/ltct
Joey Gouly,JoeyGoulyparity,https://raw.githubusercontent.com/jgouly/bld-algs/master/parity
